结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-27 17:46:33.031968,pplive.com,222.50.124.50,NULL,pplive.com,pplive.com,广东铁通TOPn网站,NULL,0.000,100,0,31.99,34.17,31.68,0.35,0.30,2.39,0.00,0.44,59.151.34.25,中国,北京, 其它运营商
2013-02-27 17:46:36.095713,qq邮箱,123.89.176.38,NULL,qq邮箱,www.mail.qq.com,网页类,NULL,0.000,100,0,6.36,8.12,4.75,0.80,0.79,2.91,0.00,0.66,120.196.210.104,中国,广东, 移动
2013-02-27 17:46:37.624806,太平洋电脑网,222.50.124.26,NULL,太平洋电脑网,www.pconline.com.cn,网页类,NULL,1.000,100,1,48.90,183.90,20.74,43.76,24.23,162.54,0.01,35.06,210.21.118.120,中国,广东, 联通
2013-02-27 17:46:39.859981,155.com,222.50.124.70,NULL,155.com,155.com,广东铁通TOPn网站,NULL,3.000,100,3,50.71,52.88,46.67,1.62,1.61,5.05,0.02,1.27,119.188.11.3,中国,山东, 联通
2013-02-27 17:46:43.584588,wps.cn,222.50.124.90,NULL,wps.cn,wps.cn,广东铁通TOPn网站,NULL,0.000,100,0,42.83,42.98,42.73,0.05,0.05,0.19,0.00,0.04,219.239.93.145,中国,北京, 移动
2013-02-27 17:46:43.791289,allyes.com,222.50.124.102,NULL,allyes.com,allyes.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116.246.18.251,中国,上海, 电信
2013-02-27 17:46:45.358634,网易,222.50.124.34,NULL,网易,www.163.com,网页类,NULL,0.000,100,0,37.26,37.67,36.93,0.18,0.20,0.64,0.00,0.14,223.87.1.58,中国,四川, 移动
2013-02-27 17:46:48.320721,sinaimg.cn,222.50.124.110,NULL,sinaimg.cn,sinaimg.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:46:50.266418,黑龙江联通,222.50.124.10,NULL,黑龙江联通,www.hl.cnc.cn,网页类,NULL,0.000,100,0,73.29,73.78,73.16,0.09,0.09,0.57,0.00,0.08,221.212.213.106,中国,黑龙江, 联通
2013-02-27 17:46:54.542494,idreamsky.com,222.50.124.50,NULL,idreamsky.com,idreamsky.com,广东铁通TOPn网站,NULL,0.000,100,0,15.43,57.78,14.70,4.26,1.06,42.93,0.00,5.98,124.172.236.21,中国,广东, 铁通
2013-02-27 17:46:57.203434,youdao.com,222.50.124.102,NULL,youdao.com,youdao.com,广东铁通TOPn网站,NULL,0.000,100,0,52.86,53.46,52.74,0.12,0.12,0.61,0.00,0.11,61.135.218.27,中国,北京, 联通
2013-02-27 17:46:59.816237,kukuplay.com,222.50.124.102,NULL,kukuplay.com,kukuplay.com,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:47:00.879278,126.net,222.50.124.2,NULL,126.net,126.net,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:47:01.349230,dxsvr.com,222.50.124.70,NULL,dxsvr.com,dxsvr.com,广东铁通TOPn网站,NULL,8.000,100,8,54.38,55.82,50.06,1.19,1.36,5.32,0.01,1.20,119.161.213.143,中国,北京, 其它运营商
2013-02-27 17:47:16.081249,太平洋电脑网,222.50.124.130,NULL,太平洋电脑网,www.pconline.com.cn,网页类,NULL,0.000,100,0,28.44,185.86,2.40,45.06,24.35,183.16,0.00,37.95,210.21.118.120,中国,广东, 联通
2013-02-27 17:47:20.897183,广州网,222.50.124.42,NULL,广州网,www.020.com,网页类,NULL,61.000,100,61,3.66,4.43,3.57,0.13,0.08,0.82,0.00,0.17,120.31.61.171,中国,广东, 铁通
2013-02-27 17:47:22.867932,irs09.com,222.50.124.70,NULL,irs09.com,irs09.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,114.112.32.237,中国,江苏, 移动
2013-02-27 17:47:30.603950,baofeng.com,222.50.124.70,NULL,baofeng.com,baofeng.com,广东铁通TOPn网站,NULL,0.000,100,0,51.74,54.53,51.45,0.34,0.25,3.05,0.00,0.42,221.238.27.169,中国,天津, 电信
