结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-02-26 22:46:13.501422,222.50.124.54,NULL,idreamsky.com,广东铁通TOPn网站,0.26,16.14,88.12,137.64,2350.67,3475.57,3762.19,432.62,86.5,100.00,100.00,100.00,100.00,100.00,124.172.236.21,中国,广东, 铁通,1016.9,3916.1,200,50,77
2013-02-26 22:46:16.014469,222.50.124.50,NULL,pcpop.com,广东铁通TOPn网站,0.44,29.53,50.09,622.13,23553.87,39213.83,39213.83,43.49,43.4,100.00,96.59,100.00,85.00,0.00,59.151.37.230,中国,北京, 其它运营商,1024.4,990.0,301,50,100
2013-02-26 22:46:18.967911,123.89.176.38,NULL,www.readnovel.com,网页类,0.54,141.99,142.54,569.62,7376.74,9564.64,9935.69,42.77,46.5,100.00,100.00,100.00,100.00,100.00,60.5.252.212,中国,河北, 联通,315.5,306.1,200,28,28
2013-02-26 22:46:21.399150,222.50.124.26,NULL,yihaodian.com,广东铁通TOPn网站,0.26,133.74,134.60,715.71,819.10,1172.91,1172.91,169.00,75.6,100.00,100.00,100.00,100.00,100.00,222.73.105.82,中国,上海, 电信,138.4,136.1,302,7,7
2013-02-26 22:46:22.076612,222.50.124.14,NULL,www.qiushibaike.com,网页类,0.25,56.01,71.75,241.80,2150.88,2927.19,3280.93,170.94,80.5,100.00,100.00,100.00,100.00,100.00,183.203.15.209,中国,山西, 移动,367.7,360.6,200,22,22
2013-02-26 22:46:24.329280,222.50.124.50,NULL,weibo.com,广东铁通TOPn网站,0.47,47.46,60.27,108.21,843.07,1129.25,1129.25,59.67,66.4,100.00,100.00,100.00,100.00,100.00,180.149.134.17,中国,北京, 电信,50.3,48.5,200,4,4
2013-02-26 22:46:25.462161,110.209.253.254,NULL,www.hl.cnc.cn,网页类,0.18,59.07,59.80,119.05,59.80,119.05,119.05,6.61,62.3,100.00,100.00,100.00,100.00,100.00,221.212.213.106,中国,黑龙江, 联通,0.4,0.2,200,1,1
2013-02-26 22:46:31.478860,222.50.124.110,NULL,kuai8.com,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-02-26 22:46:35.986788,222.50.124.98,NULL,www.qzone.qq.com,网页类,0.25,4.86,17.91,26.11,85.58,123.40,123.40,304.87,95.1,100.00,100.00,100.00,100.00,100.00,112.90.140.193,中国,广东, 联通,26.1,24.7,302,6,6
2013-02-26 22:46:36.491742,222.50.124.94,NULL,www.hexun.com,网页类,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-02-26 22:46:39.701334,222.50.124.2,NULL,dxsvr.com,广东铁通TOPn网站,0.23,62.99,63.02,126.75,63.52,126.75,126.75,12.73,62.1,100.00,100.00,100.00,100.00,100.00,119.161.213.143,中国,北京, 其它运营商,0.8,0.6,200,1,1
2013-02-26 22:46:40.247038,222.50.124.50,NULL,baidu.com,广东铁通TOPn网站,0.46,50.14,51.74,102.33,362.29,3635.05,3635.05,77.64,68.2,100.00,100.00,100.00,100.00,100.00,220.181.111.85,中国,北京, 其它运营商,28.1,25.5,200,7,7
2013-02-26 22:46:46.507005,123.65.232.142,NULL,https://play.google.com/store,网页类,0.25,340.47,327.26,782.40,3475.81,10750.04,10750.04,88.96,53.6,100.00,84.38,100.00,69.23,0.00,74.125.235.196,美国,NULL, 其它运营商,309.2,238.9,200,32,39
2013-02-26 22:46:48.019654,222.50.124.30,NULL,www.qiushibaike.com,网页类,0.48,57.67,62.42,3864.27,5809.43,6606.46,6976.12,63.34,57.6,100.00,100.00,100.00,100.00,100.00,183.203.15.209,中国,山西, 移动,368.0,360.6,302,23,23
2013-02-26 22:46:50.065784,222.50.124.50,NULL,sinaimg.cn,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
