结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-26 22:38:35.139280,222.50.124.90,NULL,www.jiayuan.com,网页类,NULL,0.000,100,0,33.19,34.07,32.97,0.18,0.17,0.94,0.01,0.18,59.151.18.32,中国,北京, 其它运营商
2013-02-26 22:38:35.344700,222.50.124.102,NULL,autohome.com.cn,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,219.148.35.250,中国,河北, 电信
2013-02-26 22:38:37.547053,222.50.124.22,NULL,www.qiushibaike.com,网页类,NULL,0.000,100,0,56.43,58.19,54.31,1.30,1.40,3.57,0.01,1.17,183.203.15.209,中国,山西, 移动
2013-02-26 22:38:47.731986,123.65.232.142,NULL,www.020.com,网页类,NULL,60.000,100,60,3.75,4.11,3.61,0.10,0.09,0.41,0.01,0.09,120.31.61.171,中国,广东, 铁通
2013-02-26 22:38:48.764700,222.50.124.98,NULL,www.youku.com,网页类,NULL,0.000,100,0,28.42,28.70,28.14,0.14,0.12,0.49,0.00,0.13,122.72.120.241,中国,中国NDC, 铁通
2013-02-26 22:38:51.378537,222.50.124.102,NULL,sinaimg.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:38:54.711392,222.50.124.42,NULL,www.youku.com,网页类,NULL,0.000,100,0,28.37,28.80,28.03,0.16,0.12,0.59,0.00,0.13,122.72.120.241,中国,中国NDC, 铁通
2013-02-26 22:38:55.386846,222.50.124.50,NULL,wps.cn,广东铁通TOPn网站,NULL,0.000,100,0,37.45,38.17,37.29,0.11,0.10,0.73,0.00,0.12,219.239.93.145,中国,北京, 移动
2013-02-26 22:39:00.884243,222.50.124.70,NULL,china.com,广东铁通TOPn网站,NULL,6.000,100,6,58.02,59.26,55.17,0.83,0.76,3.79,0.02,0.73,221.194.139.60,中国,河北, 联通
2013-02-26 22:39:08.489283,222.50.124.70,NULL,360buy.com,广东铁通TOPn网站,NULL,0.000,100,0,32.64,34.75,31.75,0.61,0.66,2.24,0.00,0.52,58.83.238.167,中国,北京, 铁通
2013-02-26 22:39:11.165032,123.89.176.30,NULL,www.020.com,网页类,NULL,60.000,100,60,10.14,10.50,9.93,0.17,0.17,0.53,0.00,0.16,120.31.61.171,中国,广东, 铁通
2013-02-26 22:39:13.085865,222.50.124.14,NULL,www.poco.cn,网页类,NULL,2.000,100,2,69.22,76.53,68.37,1.62,1.17,7.97,0.00,2.06,124.95.150.158,中国,辽宁, 联通
2013-02-26 22:39:16.102592,222.50.124.90,NULL,liebao.cn,广东铁通TOPn网站,NULL,0.000,100,0,51.71,56.21,50.99,1.01,0.46,4.95,0.01,0.95,114.112.68.197,中国,江苏, 移动
2013-02-26 22:39:16.928524,222.50.124.50,NULL,uusee.com,广东铁通TOPn网站,NULL,0.000,100,0,51.92,55.95,51.16,1.05,0.78,4.58,0.01,1.05,221.238.29.196,中国,天津, 电信
2013-02-26 22:39:18.714381,222.50.124.102,NULL,qlogo.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:39:19.099287,222.50.124.70,NULL,2nike.org,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
