2013-02-19 08:52:20 |广东铁通2-zhdx01(hxtl)  |电信        |eastmoney.com                 |229.027             |5132.049            |75.68066406         |100.0               |100.0               |222.73.55.186       |上海        |电信        
2013-02-19 08:52:12 |广东铁通3-hazlt01(bjdx) |联通        |poco                          |439.198             |23246.702           |63.25683594         |100.0               |100.0               |124.95.150.163      |辽宁        |联通        
2013-02-19 08:52:08 |广东铁通1-gzlt01(shrs)  |联通        |kankan.com                    |83.981              |1562.584            |492.4189453         |98.21428571         |100.0               |58.251.57.175       |广东        |联通        
2013-02-19 08:52:02 |广东铁通5-whlt01(zbyt)  |联通        |黑龙江联通                         |139.125             |139.125             |5.712890625         |100.0               |100.0               |221.212.213.106     |黑龙江       |联通        
2013-02-19 08:52:01 |广东铁通3-gzdx01(gzhy)  |电信        |微博                            |144.313             |1684.714            |78.04101562         |100.0               |100.0               |180.149.134.17      |北京        |电信        
2013-02-19 08:51:51 |广东铁通3-huzlt03(bjdx) |联通        |黑龙江联通                         |114.896             |114.896             |6.836914062         |100.0               |100.0               |221.212.213.106     |黑龙江       |联通        
2013-02-19 08:50:34 |广东铁通1-asddx(mzzy)   |电信        |pptv.com                      |-                   |-                   |-                   |0.0                 |0.0                 |119.147.174.103     |广东        |电信        
2013-02-19 08:50:15 |广东铁通2-zhdx01(hxtl)  |电信        |icast.cn                      |400.012             |608.469             |57.0078125          |100.0               |100.0               |222.73.178.102      |上海        |电信        
2013-02-19 08:50:11 |广东铁通4-cslt01(bjdx)  |联通        |广州妈妈网                         |41.042              |7066.108            |231.5332031         |100.0               |100.0               |58.248.62.30        |广东        |联通        
2013-02-19 08:49:52 |广东铁通5-gzlt(asd)     |联通        |黑龙江联通                         |143.749             |143.749             |5.44921875          |100.0               |100.0               |221.212.213.106     |黑龙江       |联通        
2013-02-19 08:49:23 |广东铁通4-gzdx02(gzhy)  |电信        |和讯网                           |185.221             |8841.805            |135.4677734         |100.0               |100.0               |219.239.236.198     |北京        |电信        
2013-02-19 08:48:59 |广东铁通6-gddx(bgp)     |联通        |土豆网                           |303.603             |18459.929           |129.6152344         |100.0               |100.0               |123.126.98.147      |北京        |联通        
2013-02-19 08:48:57 |广东铁通2-zhdx01(hxtl)  |电信        |mediav.com                    |146.672             |2941.397            |351.3154297         |100.0               |100.0               |114.80.69.185       |上海        |电信        
2013-02-19 08:48:15 |广东铁通1-gzlt01(shrs)  |联通        |soufun.com                    |489.11              |59818.094           |21.36523438         |99.43820225         |100.0               |202.108.253.57      |北京        |联通        
2013-02-19 08:48:14 |广东铁通1-zsdx01(ncda)  |电信        |mediav.com                    |520.524             |3028.716            |364.2675781         |100.0               |100.0               |114.80.69.185       |上海        |电信        
2013-02-19 08:48:05 |广东铁通4-cslt01(bjdx)  |联通        |小说阅读网                         |164.72              |5369.097            |78.51660156         |100.0               |100.0               |60.210.23.65        |山东        |联通        
2013-02-19 08:47:48 |广东铁通2-zhdx01(hxtl)  |电信        |88210212.com                  |21.585              |519.865             |442.0058594         |100.0               |100.0               |113.106.18.148      |广东        |电信        
2013-02-19 08:47:46 |广东铁通6-gxyn01(dx)    |电信        |和讯网                           |184.376             |12350.123           |67.48339844         |100.0               |100.0               |219.239.236.199     |北京        |电信        
2013-02-19 08:47:44 |广东铁通1-huzlt01(bjdx) |联通        |soso.com                      |120.181             |120.181             |2.955078125         |50.0                |100.0               |61.135.167.27       |北京        |联通        
2013-02-19 08:47:31 |广东铁通2-zhdx01(hxtl)  |电信        |tieyou.com                    |275.683             |10679.046           |146.5146484         |100.0               |100.0               |114.80.202.113      |上海        |电信        
2013-02-19 08:47:25 |广东铁通1-fsrj01(dx)    |电信        |qidian.com                    |743.262             |10728.341           |74.8125             |90.47619048         |100.0               |202.102.58.214      |江苏        |电信        
