结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,路由变化,路由跳数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,丢包,发包数,丢包数,结果 IP 地址,结果国家名称,结果省名称,结果归属地,附加项
2013-02-26 22:03:02.693462,222.50.124.90,NULL,ppweb.com.cn,广东铁通TOPn网站,0,9,22.46,34.93,0.61,14.33,0.41,1.68,0.00,0.52,0.000,27,0,122.11.35.98,中国,北京, 移动,9
2013-02-26 22:03:10.698188,222.50.124.70,NULL,yngxxx.com,广东铁通TOPn网站,0,30,3.18,13.76,0.58,3.31,1.71,17.92,0.00,4.17,0.000,90,0,113.107.108.37,中国,广东, 电信,30
2013-02-26 22:03:13.372489,222.50.124.38,NULL,www.readnovel.com,网页类,1,19,11.34,52.40,0.57,18.76,0.57,2.22,0.00,0.76,68.421,57,39,221.204.241.230,中国,山西, 联通,19
2013-02-26 22:03:18.421202,222.50.124.14,NULL,www.sina.com.cn,网页类,5,7,20.51,37.46,0.60,14.62,0.50,1.93,0.00,0.67,0.000,21,0,211.98.132.65,中国,北京, 铁通,7
2013-02-26 22:03:18.736395,123.65.232.142,NULL,www.onlinedown.net,下载类,8,12,21.09,37.76,0.76,15.83,0.95,2.06,0.00,0.55,16.667,36,6,221.130.12.62,中国,江苏, 移动,12
2013-02-26 22:03:28.130302,222.50.124.102,NULL,www.mail.qq.com,网页类,4,11,7.56,18.67,0.59,5.53,4.46,21.55,0.00,6.41,3.030,33,1,120.196.210.104,中国,广东, 移动,11
2013-02-26 22:03:31.415436,110.209.253.254,NULL,www.mail.qq.com,网页类,6,11,7.53,13.04,0.55,3.92,6.57,33.65,0.00,10.01,15.152,33,5,120.196.210.104,中国,广东, 移动,11
2013-02-26 22:03:34.054454,222.50.124.110,NULL,synacast.com,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,111.110.123.32,日本,NULL, 其它运营商,0
2013-02-26 22:03:35.220738,222.50.124.50,NULL,soso.com,广东铁通TOPn网站,0,18,30.45,133.40,0.60,46.60,15.82,42.18,0.00,16.97,66.667,54,36,61.135.167.27,中国,北京, 联通,18
2013-02-26 22:03:40.411891,222.50.124.26,NULL,acs86.com,广东铁通TOPn网站,3,22,14.91,67.78,0.66,23.93,1.74,9.00,0.00,3.26,72.727,66,48,117.79.81.134,中国,北京, 其它运营商,22
2013-02-26 22:03:41.759398,222.50.124.22,NULL,www.hexun.com,网页类,6,13,25.80,37.81,0.58,12.24,0.27,1.97,0.00,0.52,0.000,39,0,219.239.236.199,中国,北京, 电信,13
2013-02-26 22:03:47.466764,222.50.124.2,NULL,360safe.com,广东铁通TOPn网站,2,30,4.50,11.86,0.54,5.21,0.71,1.92,0.00,0.86,90.000,90,81,124.238.254.53,中国,河北, 电信,30
2013-02-26 22:03:52.627712,222.50.124.26,NULL,kuaibo.com,广东铁通TOPn网站,0,19,5.03,24.92,0.58,7.99,0.19,0.71,0.00,0.22,57.895,57,33,175.6.0.102,中国,湖南, 电信,19
2013-02-26 22:03:53.744655,222.50.124.70,NULL,qiyi.com,广东铁通TOPn网站,29,30,3.88,30.04,0.59,6.03,2.62,37.23,0.00,7.99,0.000,90,0,220.181.73.5,中国,北京, 电信,30
2013-02-26 22:04:01.559466,222.50.124.54,NULL,www.mail.qq.com,网页类,3,11,5.70,21.72,0.64,5.59,5.53,28.39,0.00,8.95,18.182,33,6,120.196.210.104,中国,广东, 移动,11
2013-02-26 22:04:03.178387,123.89.176.30,NULL,www.mail.qq.com,网页类,6,12,8.64,40.27,0.58,10.71,5.74,46.95,0.00,12.50,2.778,36,1,120.196.210.104,中国,广东, 移动,12
2013-02-26 22:04:05.277321,222.50.124.90,NULL,www.gzmama.com,网页类,1,15,3.87,9.80,0.61,3.27,1.89,4.94,0.00,1.60,60.000,45,27,58.248.62.34,中国,广东, 联通,15
2013-02-26 22:04:09.340114,222.50.124.42,NULL,www.pconline.com.cn,网页类,0,15,16.21,84.53,0.56,30.61,11.16,55.85,0.00,20.30,60.000,45,27,210.21.118.120,中国,广东, 联通,15
2013-02-26 22:04:10.656601,222.50.124.74,NULL,www.020.com,网页类,0,15,9.42,92.07,0.55,22.21,0.46,2.05,0.00,0.63,0.000,45,0,120.31.61.171,中国,广东, 铁通,15
2013-02-26 22:04:14.452828,222.50.124.26,NULL,wps.cn,广东铁通TOPn网站,0,10,23.50,37.45,0.56,14.25,0.10,0.57,0.00,0.16,0.000,30,0,219.239.93.145,中国,北京, 移动,10
2013-02-26 22:04:20.005673,222.50.124.6,NULL,www.gzmama.com,网页类,1,16,6.62,17.26,0.59,6.47,2.43,8.49,0.00,3.43,62.500,48,30,58.248.62.22,中国,广东, 联通,16
2013-02-26 22:04:20.979445,222.50.124.50,NULL,sohu.com,广东铁通TOPn网站,0,30,2.29,5.24,0.55,1.70,1.81,5.44,0.00,2.00,83.333,90,75,61.135.181.176,中国,北京, 联通,30
2013-02-26 22:04:26.018506,222.50.124.10,NULL,www.163.com,网页类,0,12,30.74,68.98,0.55,23.09,2.19,6.23,0.00,2.12,8.333,36,3,223.87.1.59,中国,四川, 移动,12
2013-02-26 22:04:30.110325,222.50.124.110,NULL,imshell.com,广东铁通TOPn网站,0,30,2.64,11.52,0.60,2.27,0.94,11.73,0.00,2.37,0.000,90,0,121.12.172.101,中国,广东, 电信,30
2013-02-26 22:04:31.073171,222.50.124.70,NULL,4399.com,广东铁通TOPn网站,0,11,22.57,37.74,0.60,12.39,0.61,3.44,0.00,1.15,0.000,33,0,115.182.52.231,中国,北京, 移动,11
2013-02-26 22:04:34.011355,222.50.124.98,NULL,www.kankan.com,网页类,0,5,6.15,13.38,0.61,5.06,4.05,17.73,0.00,6.89,0.000,15,0,61.235.96.93,中国,广东, 铁通,5
2013-02-26 22:04:39.306240,222.50.124.66,NULL,www.jiayuan.com,网页类,0,10,36.73,66.47,0.60,23.99,1.61,3.49,0.00,1.36,0.000,30,0,59.151.18.32,中国,北京, 其它运营商,10
2013-02-26 22:04:39.918364,222.50.124.90,NULL,duba.net,广东铁通TOPn网站,0,21,11.82,51.60,1.14,18.08,1.02,3.58,0.00,1.27,71.429,63,45,114.112.68.197,中国,江苏, 移动,21
2013-02-26 22:04:44.013604,222.50.124.50,NULL,57.net,广东铁通TOPn网站,0,30,86.10,182.36,0.59,75.63,1.07,3.99,0.00,1.17,40.000,90,36,61.160.234.11,中国,江苏, 电信,30
2013-02-26 22:04:53.130089,222.50.124.110,NULL,taobao.com,广东铁通TOPn网站,0,30,6.73,109.03,0.64,20.14,5.15,96.30,0.00,18.99,0.000,90,0,122.228.242.241,中国,浙江, 电信,30
2013-02-26 22:04:54.855544,222.50.124.90,NULL,sandai.net,广东铁通TOPn网站,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.000,0,0,160.214.4.0,西班牙,NULL, 其它运营商,0
2013-02-26 22:04:59.314379,222.50.124.30,NULL,www.qiushibaike.com,网页类,1,13,43.04,108.05,0.63,37.43,11.00,63.25,0.00,21.73,7.692,39,3,183.203.15.209,中国,山西, 移动,13
2013-02-26 22:04:59.514723,110.209.253.254,NULL,www.huanqiu.com,网页类,11,18,22.38,66.33,0.59,25.78,1.06,7.04,0.00,1.80,16.667,54,9,113.31.42.20,中国,北京, 其它运营商,18
2013-02-26 22:05:01.777283,222.50.124.62,NULL,www.hexun.com,网页类,0,13,27.05,37.88,0.57,13.32,0.16,1.23,0.00,0.32,0.000,39,0,219.239.236.198,中国,北京, 电信,13
2013-02-26 22:05:12.593652,222.50.124.2,NULL,meitu.com,广东铁通TOPn网站,0,21,13.15,67.98,0.59,24.60,0.32,1.04,0.00,0.34,71.429,63,45,42.62.18.34,中国,NULL, 其它运营商,21
2013-02-26 22:05:16.229598,222.50.124.82,NULL,www.hl.cnc.cn,网页类,0,17,41.14,121.34,0.58,43.24,2.34,32.10,0.00,7.51,0.000,51,0,221.212.213.106,中国,黑龙江, 联通,17
2013-02-26 22:05:18.637793,222.50.124.26,NULL,icast.cn,广东铁通TOPn网站,0,30,2.38,5.51,0.92,1.86,1.36,6.66,0.00,2.28,76.667,90,69,222.73.178.102,中国,上海, 电信,30
2013-02-26 22:05:27.986568,222.50.124.90,NULL,www.weibo.com,网页类,0,30,3.82,48.18,0.58,8.45,2.21,58.59,0.00,10.49,0.000,90,0,180.149.134.17,中国,北京, 电信,30
2013-02-26 22:05:28.306085,222.50.124.58,NULL,www.weibo.com,网页类,0,30,2.13,9.36,0.59,1.54,0.25,2.73,0.00,0.55,0.000,90,0,180.149.134.17,中国,北京, 电信,30
2013-02-26 22:05:36.755850,222.50.124.38,NULL,222.50.124.30,NULL,0,2,5.96,11.39,0.53,5.43,0.29,0.55,0.00,0.26,0.000,6,0,222.50.124.30,中国,广东, 铁通,2
2013-02-26 22:05:39.283014,222.50.124.110,NULL,snyu.com,广东铁通TOPn网站,0,30,2.72,12.52,0.60,2.63,0.94,11.67,0.00,2.46,0.000,90,0,58.215.169.133,中国,江苏, 电信,30
2013-02-26 22:05:41.173417,222.50.124.86,NULL,www.weibo.com,网页类,0,30,2.10,8.55,0.58,1.47,0.70,16.60,0.00,2.96,0.000,90,0,180.149.134.17,中国,北京, 电信,30
2013-02-26 22:05:49.130142,222.50.124.130,NULL,www.mail.qq.com,网页类,4,12,7.69,26.11,0.58,7.50,7.32,52.44,0.00,14.55,13.889,36,5,120.196.210.104,中国,广东, 移动,12
2013-02-26 22:05:51.229626,222.50.124.90,NULL,icast.cn,广东铁通TOPn网站,0,30,8.37,182.98,0.59,32.47,7.24,210.16,0.00,37.68,0.000,90,0,222.73.178.102,中国,上海, 电信,30
2013-02-26 22:05:55.190567,222.50.124.70,NULL,www.kankan.com,网页类,0,5,3.08,5.16,0.60,1.49,0.72,2.51,0.00,0.93,0.000,15,0,61.235.96.93,中国,广东, 铁通,5
2013-02-26 22:05:56.028999,222.50.124.2,NULL,2345.com,广东铁通TOPn网站,0,30,2.87,4.11,0.68,1.55,1.73,4.17,0.00,1.75,90.000,90,81,122.227.230.133,中国,浙江, 电信,30
2013-02-26 22:05:56.516519,222.50.124.110,NULL,178.com,广东铁通TOPn网站,0,30,2.22,7.21,0.60,2.51,0.36,1.42,0.00,0.53,83.333,90,75,123.134.67.166,中国,山东, 联通,30
2013-02-26 22:05:58.773271,222.50.124.38,NULL,http://v.youku.com/v_show/id_XNDI5OTMzODI4.html,视频类,0,5,2.85,10.54,0.57,3.87,0.93,2.79,0.00,1.09,0.000,15,0,211.98.70.195,中国,湖南, 铁通,5
2013-02-26 22:06:05.443221,222.50.124.22,NULL,www.pconline.com.cn,网页类,0,15,22.43,114.70,0.56,41.45,2.94,9.20,0.00,3.20,60.000,45,27,210.21.118.120,中国,广东, 联通,15
2013-02-26 22:06:05.784845,222.50.124.46,NULL,www.weibo.com,网页类,0,30,3.58,11.10,0.58,4.35,1.23,3.76,0.00,1.52,86.667,90,78,180.149.134.17,中国,北京, 电信,30
2013-02-26 22:06:08.648975,222.50.124.90,NULL,4399.com,广东铁通TOPn网站,0,11,26.10,38.91,0.58,14.72,1.12,5.79,0.00,2.14,0.000,33,0,115.182.52.231,中国,北京, 移动,11
